created_at,text
Mon Oct 26 01:32:24 +0000 2020,"RT @BolsoTrumpRaiz: NÃO RIA PORFAVOR!!!
""Se o vírus veio da China e funciona, por que a vacina não funcionaria?""
ASS: DILMA ROUSSEFF"
Mon Oct 26 01:32:24 +0000 2020,"RT @biellca: OS CARAS MUDARAM UM PRÉDIO DE LUGAR E VOCÊS ACHAM QUE NÃO VOU TOMAR A VACINA DELES?
MEU AMIGO, TOMA AQUI MEU BRAÇO"
Mon Oct 26 01:32:25 +0000 2020,"RT @biellca: OS CARAS MUDARAM UM PRÉDIO DE LUGAR E VOCÊS ACHAM QUE NÃO VOU TOMAR A VACINA DELES?
MEU AMIGO, TOMA AQUI MEU BRAÇO"
Mon Oct 26 01:32:27 +0000 2020,"RT @biellca: OS CARAS MUDARAM UM PRÉDIO DE LUGAR E VOCÊS ACHAM QUE NÃO VOU TOMAR A VACINA DELES?
MEU AMIGO, TOMA AQUI MEU BRAÇO"
Mon Oct 26 01:32:27 +0000 2020,"RT @biellca: OS CARAS MUDARAM UM PRÉDIO DE LUGAR E VOCÊS ACHAM QUE NÃO VOU TOMAR A VACINA DELES?
MEU AMIGO, TOMA AQUI MEU BRAÇO"
Mon Oct 26 01:32:28 +0000 2020,RT @janainabones: A PERGUNTA É: POR QUE A CHINA COMPROU VACINA SUECA PARA OS SEUS CIDADÃOS E VAI VENDER A SUA PARA SÃO PAULO COMPRADA PELO…
Mon Oct 26 01:32:28 +0000 2020,"fique em casa, chifre não é vacina"
Mon Oct 26 01:32:31 +0000 2020,vacina dói mais velho
Mon Oct 26 01:32:31 +0000 2020,"Com vacina fajuta e rebolado infame, vai cair #DoriaVaiCair"
Mon Oct 26 01:32:33 +0000 2020,"RT @ThePattriota: Pra quê tomar vacina?
Ninguém usa máscara e não está mais preocupado com isso.
Esse showmício foi ontem no Maranhão... ht…"
Mon Oct 26 01:32:34 +0000 2020,"RT @BolsoTrumpRaiz: NÃO RIA PORFAVOR!!!
""Se o vírus veio da China e funciona, por que a vacina não funcionaria?""
ASS: DILMA ROUSSEFF"
Mon Oct 26 01:32:34 +0000 2020,"RT @alwaysb4d: Os cara pagando milhoes em vacina e comprei uma por 3 conto, tudo otario https://t.co/KTsXGcixxb"
Mon Oct 26 01:32:34 +0000 2020,"nem ligo que é da China, só quero tomar essa vacina senhor"
Mon Oct 26 01:32:35 +0000 2020,"RT @Luis_R_Oficial: Se o vírus veio da China e funciona, por que a vacina não funcionaria? 

Dilma Rousseff

#DoriaVaiCair"
Mon Oct 26 01:32:36 +0000 2020,@BrunoMenega mano se o doria morrer num tem vacina bicho
Mon Oct 26 01:32:36 +0000 2020,o dia da minha rescisão de contrato com a t**************:
Mon Oct 26 01:32:36 +0000 2020,"RT @InterDD: POR FAVOR FIOCRUZ, BUTANTÃ, BRASIL, CHINA, REINO UNIDO SEJA LÁ O CARALHO QUE FOR

POR FAVOR CONSIGAM A VACINA ATÉ O FINAL DO B…"
Mon Oct 26 01:32:38 +0000 2020,"RT @alwaysb4d: Os cara pagando milhoes em vacina e comprei uma por 3 conto, tudo otario https://t.co/KTsXGcixxb"
Mon Oct 26 01:32:38 +0000 2020,"Qual artista BR você acha que se fizesse isso hoje, ajudaria a mudar um pouco a cabeça da galera??"
Mon Oct 26 01:32:38 +0000 2020,RT @29Mattos: - #DoriaVaiCair - Russomanno manda recado a Doria sobre vacina chinesa: “O paulistano não é cobaia” https://t.co/jKyWE8YiO8
Mon Oct 26 01:32:39 +0000 2020,"RT @AlanLopesRio: 23:59 ""Meu corpo, minhas regras.""

00:00 ""A vacina chinesa tem que ser obrigatória.""

Hipocrisia é a marca registrada do…"
Mon Oct 26 01:32:40 +0000 2020,"RT @GFiuza_Oficial: Pergunta inocente: algum desses que estão dando ""notícias"" sobre vacina que não existe tem ""parceria"" com algum interes…"
Mon Oct 26 01:32:40 +0000 2020,"@folha @MarceloNLeite Bolsonaro não é contra a vacina
É contra algo que ninguém sabe a merda que é
Vacina TODOS os… https://t.co/yAG6cD6bFc"
Mon Oct 26 01:32:40 +0000 2020,"RT @JornalDaCidadeO: Uma discussão absolutamente inócua

https://t.co/dg3TMlQncA"
Mon Oct 26 01:32:41 +0000 2020,RT @CarlaZambelli38: Análise independente da Universidade de Bristol divulgada em 22/10 mostra que Vacina de Oxford está no caminho certo.…
Mon Oct 26 01:32:41 +0000 2020,RT @JohnKage10: @asinhorinha @taoquei1 @jairbolsonaro @Biakicis @allanldsantos @luislacombereal @alexandregarcia Estava assistindo até agor…
Mon Oct 26 01:32:42 +0000 2020,"RT @biellca: OS CARAS MUDARAM UM PRÉDIO DE LUGAR E VOCÊS ACHAM QUE NÃO VOU TOMAR A VACINA DELES?
MEU AMIGO, TOMA AQUI MEU BRAÇO"
Mon Oct 26 01:32:43 +0000 2020,"RT @dariojjunior: Um dos setores mais regulados no Brasil é o farmacêutico. É resolução, portaria, lei, regulamento e os caralho. Mesmo ass…"
Mon Oct 26 01:32:43 +0000 2020,"RT @biellca: OS CARAS MUDARAM UM PRÉDIO DE LUGAR E VOCÊS ACHAM QUE NÃO VOU TOMAR A VACINA DELES?
MEU AMIGO, TOMA AQUI MEU BRAÇO"
Mon Oct 26 01:32:44 +0000 2020,RT @nikolas_dm: Por um Brasil que esquerdista toma vacina primeiro e se muda pra Cuba.
Mon Oct 26 01:32:45 +0000 2020,"@DeisePeres4 Imbecil quem pensa que tá fazendo um bom negócio de vacinando, olha os números de pesquisa de uma vaci… https://t.co/NsMMaA8mO8"
Mon Oct 26 01:32:46 +0000 2020,RT @oswaldojor: ASCOM OE
